url,title,content,tags
https://www.caregiver.org/resource/caregivers-bill-rights/,A Caregiver’s Bill of Rights,"To take care of myself. This is not an act of selfishness. It will give me the capacity to take better care of my relative.
 To seek help from others even though my relative may object. I recognize the limits of my own endurance and strength.
 To maintain facets of my own life that do not include the person I care for, just as I would if he or she were healthy. I know that I do everything that I reasonably can for this person, and I have the right to do some things for myself.
 To get angry, be depressed, and express other difficult feelings occasionally.
 To reject any attempt by my relative (either conscious or unconscious) to manipulate me through guilt, anger, or depression.
 To receive consideration, affection, forgiveness, and acceptance for what I do for my loved one for as long as I offer these qualities in return.
  To take pride in what I am accomplishing and to applaud the courage it has sometimes taken to meet the needs of my relative.
 To protect my individuality and my right to make a life for myself that will sustain me in the time when my relative no longer needs my full-time help.
 To expect and demand that as new strides are made in finding resources to aid physically and mentally impaired older persons in our country, similar strides will be made toward aiding and supporting caregivers.
 To ___________________________________________________
(Add you own statement of rights to this list. Read the list to yourself every day.)
— Jo Horne, author of Caregiving: Helping an Aging Loved One
 ",[]
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"“The care you give to yourself is the care you give to your loved one,” said a caregiver. Absolutely the easiest thing for someone to say and the hardest thing to accept is the advice to take care of yourself as a caregiver. It is often hard to see beyond the care tasks that await you each morning.
What is shown by study after study is that caregiving compromises health. About 60% of caregivers show signs of clinical depression, and caregivers take more prescription medications, including those for anxiety and depression, than others in their age group. Reluctance in asking for and accepting help is a major barrier to getting necessary respite and support. Who has time to think about breaks when there is a diaper that needs to be changed? Seventy-five percent of caregivers in America are women, some taking care of spouses/partners, some adult children taking care of parents, some parents taking care of adult children. What does taking care of yourself mean, why is it so hard to do, and how do you do it?",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Support and coping comes in many forms—prayer, talking to family, friends or professionals, saying “yes” to offers of help, taking walks, reading a book, eating hot fudge sundaes. But most caregivers end up withdrawing from friends and family and feeling isolated and as if no one understands. Support groups can be an important source of understanding and connection.",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Guilt that “I should” do this or be able to do it, guilt that your loved one wonʼt get as good care if you aren’t doing it, guilt that something will happen if you are away, guilt about having a good time when someone else is not. As there is no “perfect parent,” there is no such thing as a “perfect” caregiver. And you are not selfish to sometimes think about yourself and your needs and feelings. Although caregivers feel guilty when they get angry or frustrated, these feelings are OK and a way to know how well you are coping. “How can I say it is difficult when I really love this person?” questioned the husband of a client.",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Learn to ask for help. The often-heard question, “Is there anything you need?” has but one answer: Yes. “Yes, I need a meal, I need someone to stay here so I can go out, I need some time by myself, I need flowers, I need help in the garden, I need some groceries.” Learn to say “no” to requests that are draining rather than nurturing, such as hosting holiday meals. You can still make choices about your life and what is right for you and you do still have some control.",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Not getting enough sleep is a major cause of illness and stress in caregivers. Exhaustion is one of the main complaints, leading to irritability and then inappropriate anger which then leads to more guilt. Talk with your physician about medication for either yourself or your loved one to help with sleeping through the night. Know the limits of your own endurance and strength. Make sure you have regular check ups and that those “little concerns” about your health are looked into. Exercise is even more important as it gives you a break, combats depression, and helps you maintain health. When I talk with caregivers, one of their fears is worrying about what will happen to their loved one if something happens to them. Worrying doesnʼt help. Taking better care of your health does.",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Learn as much as you can about the illness so that you can understand what is happening. Attend a workshop or support group, not just for emotional support but also to learn caregiving tricks to make caregiving easier. You can’t know it all; this is a job you werenʼt trained to do. Contact someone who can help you connect with community resources and use them.",depression
https://www.caregiver.org/resource/guide-taking-care-yourself/,A Guide to Taking Care of Yourself,"Taking care of yourself may mean dealing with family problems. How can you make your siblings pull their weight? Possibly you canʼt, and learning how to have a family meeting or work around them is essential for survival. One family actually has a chart and marks off what each does so no one can say, “You aren’t doing your share.” It is easy to become overwhelmed, thus the need for breaks. One caregiver told me that she deals so much better with her husband when he has been at day care, because when he comes home, she is not already frustrated by him. Without breaks, you begin to question yourself, feel inadequate, and experience burn out. Caregivers are often mourning the loss of the person “who used to be.” Grief and loss need to be acknowledged.
One of the stressors of caregiving is seeing no end to the situation. Having a life and connections outside of caregiving helps you to maintain perspective, so that caregiving doesn’t become oneʼs only reality. You might be interested in the FCAʼs Taking Care of YOU: Self-Care for Family Caregivers, a guide to assist caregivers in facing day-to-day challenges.
Meanwhile, your best defense is a sense of humor. Find people or situations to laugh at daily. It refreshes the soul and renews your spirit.",depression
https://www.caregiver.org/resource/adult-day-care-alzheimers-first-day/,Adult Day Care for Alzheimer’s: The First Day,"The quiet stillness of morning had always been a soothing part of the routine Pat shared with her husband Tom. It was a private time for her to have her coffee, read the newspaper, and check emails. Tom rose a little later, made his own breakfast, and began to work at his desk. But now, with the progression of Tom’s Alzheimer’s disease, Pat counts her personal time among the many things which have slipped away. 
On this morning, however, Pat is taking a step to regain some of that nourishing quiet. Today is Tom’s first day at an Alzheimer’s day center—just one of the different types of day programs available to offer respite to caregivers.
Pat’s morning ritual had changed in response to her husband’s gradual decline in function, and Pat had to devote increasing amounts of her attention to Tom’s needs. Though she did her best, Pat says, “I know I was not able to occupy him all the time.”
For Pat, most days used to be filled with getting out and about, running errands, going to the gym. But that’s changed. “I don’t go out nearly as much as I used to. I can’t go out because I don’t know when he might decide to use the stove or go hunting for me and get lost,” Pat explains.  Many caregivers find that their own isolation increases as their loved one withdraws from social situations that become difficult to cope with because of memory loss.
Last week Pat, Tom and their daughter visited an Alzheimer’s  day center. “They are such wonderful people,” Pat says of the staff, “they have such a calling to these people . . . they know all the clients that come and know their families.” While Pat and her daughter were given a tour, Tom was shown the program.  Pat reports that, “I kept watching him, but he never turned around and looked for us.”
Adult day centers for people with dementia and memory loss can provide a necessary—and very welcome—respite to the day-in and day-out tasks of caregiving. Caregivers can become overwhelmed by the additional responsibilities of managing the household and finances. Behavior issues such as repeating questions, “shadowing” the caregiver, and agitation can cause frustration and anger for any caregiver. Alzheimer’s day centers provide a break for the caregivers and afford them time alone in their own homes.   
Day programs provide a safe setting and needed stimulation for the person with dementia, encouraging them to be more engaged and alert. Day program schedules usually run four to six hours, during which time the participant can be involved in activities, enjoy entertainment, have a hot lunch, and receive personal care. Most centers provide services from two to five days a week. Caregivers are free to run errands, attend to their own health needs, work, socialize, or simply relax.
Communicating with Tom about the day center was not easy. When Pat spoke with him about attending “The Club,” as she was advised to call it, she had to drop the subject when he became agitated. With repeated encouragement, Tom agreed to give it a try. “I think deep inside he knows some of it is for me,” Pat suggests.
Pat says she is confident this is the right step, “I thought about if  he would feel I was abandoning him, but at the dementia caregiver support group they said, ‘Don’t wait until it is absolutely necessary; it is better to go when the patient has more cognitive abilities, then they make the transition  better.’ ”
While Tom was at the day center, Pat was able to buy some birthday presents without having to rush home to check on him. She also returned to researching her family genealogy, one of her favorite activities. With all of the tasks and demands of caregiving, hobbies and interests have a way of falling to the very bottom of a caregiver’s list of things which need to be done. Pat plans for Tom to attend the center two days a week. “One day I will do something for myself, and the other I will do chores,” she says. 
Unfortunately, Tom’s first day did not go smoothly. After lunch was finished he was quite adamant about wanting to go home. “I guess it’s a process; I did not realize that,” Pat explains. The staff has suggested that Tom be picked up after lunch, until he adjusts to the program.
Many people with dementia fixate on the caregiver for security. It can be difficult for them, at first, to be separated from their family member.  Although a loved one may have difficulty adjusting, many caregivers come to see that the day center is as much a benefit for themselves as for their loved ones. Pat points out, “It’s good for both parties; you’re not just leaving your spouse, the staff has lots of activities for them.”
Should the day center not work out, Pat already has the information needed to find help in the home through a home care agency.  She has taken advantage of the free family consultation available through Family Caregiver Alliance to discuss care planning and resources for caregivers in her area. Families throughout California can contact their local Caregiver Resource Center to locate a day center near them. Adult day centers are sponsored by a wide variety of programs and organizations. 
Next Tuesday Tom will try the day center again. “It’s a lot, at first, for him to be with strangers and not know where I am,” Pat declares. “But we’re not going to give up.”",dementia
https://www.caregiver.org/resource/advance-health-care-directives-and-polst/,Advance Health Care Directives and POLST,"The Advance Health Care Directive (ADHC) allows you to appoint someone (health care agent, attorney-in-fact, proxy, or surrogate) to make a decision for you if you cannot speak for yourself. It is also called the Durable Power of Attorney for Health Care, Natural Death Act, Directive to Physicians, or a Living Will. (The living will is slightly different; check on what is recognized in your state.) Every state recognizes the ADHC, but states have their own forms, as laws vary from state to state.",[]
