index,title,content,source
0,Alzheimer's Disease Fact Sheet,"Alzheimer’s disease is a brain disorder that slowly destroys memory and thinking skills, and eventually, the ability to carry out the simplest tasks. In most people with Alzheimer’s, symptoms first appear later in life. Estimates vary, but experts suggest that more than 6 million Americans, most of them age 65 or older, may have Alzheimer’s.",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,Alzheimer’s is currently ranked as the seventh leading cause of death in the United States and is the most common cause of dementia among older adults.,https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"Dementia is the loss of cognitive functioning — thinking, remembering, and reasoning — and behavioral abilities to such an extent that it interferes with a person’s daily life and activities. Dementia ranges in severity from the mildest stage, when it is just beginning to affect a person’s functioning, to the most severe stage, when the person must depend completely on others for help with basic activities of daily living.",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"The causes of dementia can vary depending on the types of brain changes that may be taking place. Other forms of dementia include Lewy body dementia, frontotemporal disorders, and vascular dementia. It is common for people to have mixed dementia — a combination of two or more types of dementia. For example, some people have both Alzheimer’s and vascular dementia.",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"Alzheimer’s disease is named after Dr. Alois Alzheimer. In 1906, Dr. Alzheimer noticed changes in the brain tissue of a woman who had died of an unusual mental illness. Her symptoms included memory loss, language problems, and unpredictable behavior. After she died, he examined her brain and found many abnormal clumps (now called amyloid plaques) and tangled bundles of fibers (now called neurofibrillary, or tau, tangles).",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"These plaques and tangles in the brain are still considered some of the main features of Alzheimer’s. Another feature is the loss of connections between neurons in the brain. Neurons transmit messages between different parts of the brain, and from the brain to muscles and organs in the body.",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,Participating in Alzheimer's disease clinical trials Everybody — those with Alzheimer’s or mild cognitive impairment as well as healthy volunteers with or without a family history of Alzheimer’s — may be able to take part in clinical trials and studies. Participants in Alzheimer’s clinical research can help scientists learn how the brain changes in healthy aging and in Alzheimer’s.,https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"Many volunteers are needed to participate in the hundreds of active clinical trials and studies that are testing ways to better understand, diagnose, treat, and prevent Alzheimer’s. Researchers need participants of different ages, sexes, races, and ethnicities to ensure that results are meaningful for many people. To learn more about clinical trials, watch this video",https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,from the NIH National Library of Medicine.,https://www.nia.nih.gov/health/alzheimers-and-dementia
0,Alzheimer's Disease Fact Sheet,"NIA leads the federal government’s research efforts on Alzheimer’s. NIA-funded Alzheimer’s Disease Research Centers throughout the United States conduct a wide range of research, including trials and studies of the causes, diagnosis, and management of the disease. NIA also sponsors the Alzheimer’s Clinical Trials Consortium, which is designed to accelerate and expand research and therapies in Alzheimer’s and related dementias.",https://www.nia.nih.gov/health/alzheimers-and-dementia
